#options: 720x1566 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=270 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:44.34 aq:35.28 tex:51 mv:100 misc:361 imb:1 pmb:17 smb:4392 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:44.95 aq:34.00 tex:8 mv:60 misc:316 imb:2 pmb:10 smb:4398 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:43.72 aq:33.00 tex:3 mv:38 misc:271 imb:1 pmb:3 smb:4406 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:41.26 aq:28.50 tex:40792 mv:6185 misc:3319 imb:691 pmb:1200 smb:2519 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:42.18 aq:32.42 tex:84 mv:109 misc:351 imb:2 pmb:16 smb:4392 d:t ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:42.65 aq:40.15 tex:36 mv:18 misc:274 imb:0 pmb:3 smb:4407 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:41.72 aq:31.00 tex:4 mv:58 misc:298 imb:0 pmb:11 smb:4399 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:39.72 aq:28.15 tex:45461 mv:4472 misc:3187 imb:240 pmb:1114 smb:3056 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:40.49 aq:36.60 tex:151 mv:213 misc:396 imb:2 pmb:27 smb:4381 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:40.87 aq:30.00 tex:1 mv:119 misc:344 imb:0 pmb:19 smb:4391 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:40.10 aq:29.00 tex:7 mv:103 misc:306 imb:3 pmb:8 smb:4399 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:38.88 aq:28.32 tex:32496 mv:3552 misc:3056 imb:122 pmb:922 smb:3366 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:39.30 aq:33.33 tex:87 mv:412 misc:517 imb:3 pmb:57 smb:4350 d:t ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:39.51 aq:29.00 tex:1 mv:9 misc:254 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:39.09 aq:26.44 tex:19 mv:110 misc:327 imb:1 pmb:17 smb:4392 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:39.71 aq:28.42 tex:4785 mv:1486 misc:1393 imb:52 pmb:224 smb:4134 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:39.29 aq:32.42 tex:164 mv:455 misc:533 imb:1 pmb:62 smb:4347 d:t ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:39.08 aq:26.44 tex:12 mv:13 misc:255 imb:1 pmb:0 smb:4409 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:39.50 aq:29.00 tex:1 mv:6 misc:265 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:54 out:53 type:P dur:2 cpbdur:2 q:40.82 aq:29.30 tex:870 mv:685 misc:693 imb:18 pmb:70 smb:4322 d:s ref:0 ;
in:53 out:54 type:b dur:2 cpbdur:2 q:40.26 aq:29.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:s ref:0 ;
in:58 out:55 type:P dur:2 cpbdur:2 q:40.80 aq:32.72 tex:2324 mv:967 misc:757 imb:29 pmb:100 smb:4281 d:s ref:0 ;
in:56 out:56 type:B dur:2 cpbdur:2 q:40.81 aq:29.00 tex:15 mv:340 misc:429 imb:2 pmb:45 smb:4363 d:t ref:0 ;
in:55 out:57 type:b dur:2 cpbdur:2 q:40.82 aq:30.00 tex:1 mv:17 misc:270 imb:0 pmb:6 smb:4404 d:s ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:40.81 aq:39.52 tex:42 mv:56 misc:310 imb:0 pmb:13 smb:4397 d:- ref:0 ;
in:60 out:59 type:P dur:2 cpbdur:2 q:41.68 aq:32.13 tex:517 mv:720 misc:659 imb:12 pmb:76 smb:4322 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:41.24 aq:30.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:s ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:42.40 aq:35.31 tex:1048 mv:834 misc:670 imb:26 pmb:74 smb:4310 d:t ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:42.04 aq:35.11 tex:37 mv:114 misc:337 imb:0 pmb:17 smb:4393 d:t ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:41.86 aq:31.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:42.22 aq:31.00 tex:3 mv:75 misc:290 imb:1 pmb:10 smb:4399 d:- ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:41.46 aq:30.56 tex:1129 mv:851 misc:748 imb:20 pmb:100 smb:4290 d:t ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:41.93 aq:31.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:s ref:0 ;
in:70 out:67 type:P dur:2 cpbdur:2 q:41.16 aq:32.31 tex:2342 mv:869 misc:741 imb:27 pmb:87 smb:4296 d:s ref:0 ;
in:68 out:68 type:B dur:2 cpbdur:2 q:41.31 aq:37.19 tex:44 mv:205 misc:351 imb:0 pmb:21 smb:4389 d:t ref:0 ;
in:67 out:69 type:b dur:2 cpbdur:2 q:41.38 aq:31.00 tex:4 mv:60 misc:296 imb:1 pmb:11 smb:4398 d:s ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:41.23 aq:30.00 tex:3 mv:18 misc:283 imb:0 pmb:7 smb:4403 d:- ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:39.52 aq:28.60 tex:6281 mv:1286 misc:1449 imb:40 pmb:246 smb:4124 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:40.34 aq:26.15 tex:16 mv:74 misc:302 imb:1 pmb:12 smb:4397 d:s ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:39.16 aq:26.68 tex:3783 mv:1428 misc:1149 imb:31 pmb:189 smb:4190 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:39.34 aq:27.00 tex:6 mv:485 misc:493 imb:0 pmb:54 smb:4356 d:t ref:0 ;
