#options: 720x1566 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=220 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:35 out:35 type:B dur:2 cpbdur:2 q:50.00 aq:34.00 tex:1 mv:5 misc:290 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:50.60 aq:36.00 tex:0 mv:5 misc:275 imb:0 pmb:2 smb:4408 d:s ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:49.41 aq:36.00 tex:33 mv:5 misc:266 imb:0 pmb:1 smb:4409 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:46.90 aq:36.62 tex:11064 mv:2415 misc:2545 imb:153 pmb:429 smb:3828 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:47.86 aq:42.15 tex:54 mv:13 misc:293 imb:0 pmb:4 smb:4406 d:s ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:48.34 aq:33.00 tex:1 mv:4 misc:267 imb:0 pmb:2 smb:4408 d:s ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:47.38 aq:32.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:45 out:42 type:P dur:2 cpbdur:2 q:45.32 aq:35.29 tex:28283 mv:3953 misc:3228 imb:198 pmb:845 smb:3367 d:- ref:0 ;
in:43 out:43 type:B dur:2 cpbdur:2 q:46.11 aq:40.23 tex:131 mv:68 misc:377 imb:1 pmb:14 smb:4395 d:s ref:0 ;
in:42 out:44 type:b dur:2 cpbdur:2 q:46.51 aq:32.00 tex:2 mv:15 misc:295 imb:0 pmb:6 smb:4404 d:s ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:45.72 aq:31.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:49 out:46 type:P dur:2 cpbdur:2 q:44.03 aq:33.92 tex:33043 mv:4942 misc:3567 imb:270 pmb:1027 smb:3113 d:- ref:0 ;
in:47 out:47 type:B dur:2 cpbdur:2 q:44.67 aq:36.23 tex:229 mv:104 misc:403 imb:3 pmb:17 smb:4390 d:s ref:0 ;
in:46 out:48 type:b dur:2 cpbdur:2 q:45.00 aq:30.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:s ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:44.35 aq:29.00 tex:1 mv:3 misc:260 imb:0 pmb:1 smb:4409 d:- ref:0 ;
in:53 out:50 type:P dur:2 cpbdur:2 q:43.08 aq:32.55 tex:29303 mv:4718 misc:3435 imb:254 pmb:953 smb:3203 d:s ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:43.55 aq:31.90 tex:115 mv:62 misc:335 imb:2 pmb:7 smb:4401 d:s ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:43.79 aq:33.90 tex:38 mv:4 misc:254 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:43.31 aq:28.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:42.79 aq:29.82 tex:18504 mv:4388 misc:3308 imb:552 pmb:655 smb:3203 d:s ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:42.93 aq:28.78 tex:49 mv:83 misc:372 imb:1 pmb:14 smb:4395 d:s ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:43.00 aq:28.00 tex:4 mv:21 misc:271 imb:2 pmb:0 smb:4408 d:s ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:42.86 aq:28.00 tex:0 mv:3 misc:261 imb:0 pmb:1 smb:4409 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:43.48 aq:33.19 tex:4863 mv:1969 misc:1624 imb:105 pmb:216 smb:4089 d:s ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:43.13 aq:35.45 tex:419 mv:326 misc:575 imb:6 pmb:44 smb:4360 d:t ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:42.96 aq:30.41 tex:35 mv:19 misc:274 imb:1 pmb:2 smb:4407 d:s ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:43.31 aq:28.00 tex:2 mv:13 misc:257 imb:1 pmb:0 smb:4409 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:44.42 aq:34.95 tex:2952 mv:1465 misc:1359 imb:85 pmb:150 smb:4175 d:s ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:43.95 aq:34.35 tex:249 mv:142 misc:417 imb:2 pmb:22 smb:4386 d:t ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:43.71 aq:29.00 tex:0 mv:4 misc:260 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:44.19 aq:32.88 tex:54 mv:8 misc:266 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:45.00 aq:34.89 tex:3453 mv:1585 misc:1362 imb:106 pmb:135 smb:4169 d:s ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:44.71 aq:40.95 tex:190 mv:100 misc:398 imb:0 pmb:18 smb:4392 d:s ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:44.57 aq:30.00 tex:0 mv:4 misc:260 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:44.85 aq:30.00 tex:0 mv:14 misc:258 imb:0 pmb:1 smb:4409 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:44.99 aq:35.48 tex:3032 mv:1417 misc:1303 imb:94 pmb:125 smb:4191 d:s ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:44.99 aq:33.90 tex:188 mv:71 misc:373 imb:1 pmb:14 smb:4395 d:t ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:45.00 aq:42.74 tex:55 mv:11 misc:270 imb:0 pmb:3 smb:4407 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:44.99 aq:35.34 tex:38 mv:14 misc:268 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:44.21 aq:34.01 tex:3994 mv:1617 misc:1453 imb:106 pmb:156 smb:4148 d:s ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:44.60 aq:40.31 tex:223 mv:98 misc:391 imb:1 pmb:17 smb:4392 d:s ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:44.80 aq:30.00 tex:4 mv:24 misc:268 imb:2 pmb:1 smb:4407 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:44.41 aq:29.00 tex:0 mv:0 misc:248 imb:0 pmb:0 smb:4410 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:43.25 aq:33.21 tex:6104 mv:2026 misc:1782 imb:115 pmb:248 smb:4047 d:s ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:43.73 aq:36.23 tex:281 mv:153 misc:414 imb:4 pmb:18 smb:4388 d:t ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:43.97 aq:29.00 tex:0 mv:3 misc:261 imb:0 pmb:1 smb:4409 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:43.49 aq:38.15 tex:59 mv:7 misc:262 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:84 out:82 type:P dur:2 cpbdur:2 q:42.31 aq:31.22 tex:18505 mv:3202 misc:2869 imb:192 pmb:613 smb:3605 d:s ref:0 ;
in:82 out:83 type:B dur:2 cpbdur:2 q:42.94 aq:34.95 tex:56 mv:14 misc:298 imb:0 pmb:4 smb:4406 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:42.63 aq:33.84 tex:53 mv:8 misc:267 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:41.86 aq:30.82 tex:18136 mv:3404 misc:2868 imb:178 pmb:592 smb:3640 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:42.08 aq:34.20 tex:329 mv:344 misc:567 imb:4 pmb:47 smb:4359 d:t ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:42.20 aq:27.29 tex:85 mv:44 misc:303 imb:2 pmb:5 smb:4403 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:41.97 aq:29.24 tex:35 mv:21 misc:272 imb:1 pmb:2 smb:4407 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:41.08 aq:30.49 tex:28089 mv:3875 misc:3252 imb:174 pmb:843 smb:3393 d:s ref:0 ;
in:90 out:90 type:B dur:2 cpbdur:2 q:41.47 aq:37.45 tex:423 mv:435 misc:678 imb:1 pmb:71 smb:4338 d:t ref:0 ;
in:89 out:91 type:b dur:2 cpbdur:2 q:41.66 aq:37.83 tex:86 mv:34 misc:296 imb:1 pmb:6 smb:4403 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:41.27 aq:35.92 tex:38 mv:16 misc:266 imb:0 pmb:2 smb:4408 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:40.48 aq:29.62 tex:29290 mv:3786 misc:3148 imb:140 pmb:834 smb:3436 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:40.78 aq:32.57 tex:375 mv:530 misc:719 imb:4 pmb:74 smb:4332 d:t ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:40.93 aq:38.60 tex:164 mv:37 misc:327 imb:0 pmb:10 smb:4400 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:40.63 aq:26.00 tex:0 mv:9 misc:255 imb:0 pmb:1 smb:4409 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:40.06 aq:29.79 tex:22170 mv:3252 misc:2842 imb:116 pmb:671 smb:3623 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:40.27 aq:34.17 tex:535 mv:749 misc:884 imb:4 pmb:113 smb:4293 d:t ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:40.38 aq:32.58 tex:58 mv:36 misc:306 imb:1 pmb:6 smb:4403 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:40.17 aq:27.10 tex:68 mv:26 misc:290 imb:0 pmb:6 smb:4404 d:- ref:0 ;
in:104 out:101 type:P dur:2 cpbdur:2 q:40.55 aq:29.14 tex:57022 mv:7143 misc:1915 imb:674 pmb:384 smb:3352 d:t ref:0 ;
in:102 out:102 type:B dur:2 cpbdur:2 q:40.31 aq:33.88 tex:993 mv:3112 misc:799 imb:174 pmb:485 smb:3751 d:s ref:0 ;
in:101 out:103 type:b dur:2 cpbdur:2 q:40.19 aq:26.95 tex:42 mv:26 misc:292 imb:1 pmb:4 smb:4405 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:40.43 aq:32.92 tex:144 mv:196 misc:628 imb:2 pmb:126 smb:4282 d:- ref:0 ;
